attributes_LONGITUDE,attributes_LATITUDE,attributes_OFFENSE
-76.9903059701,38.9201570109,ROBBERY
-76.9696202304,38.9208048561,THEFT F/AUTO
-77.0448920773,38.9064503513,THEFT F/AUTO
-77.0570544042,38.9064745024,ROBBERY
-77.0268715256,38.9287653752,ROBBERY
-77.0239679639,38.9155699857,THEFT F/AUTO
-77.0449027348,38.904699304,BURGLARY
-77.0017441439,38.8216297021,ROBBERY
-77.0714469596,38.9261826787,THEFT F/AUTO
-77.082063263,38.9268926783,THEFT F/AUTO
-77.005239509,38.9086732,THEFT/OTHER
-77.0002356611,38.907507277,THEFT/OTHER
-77.0460724634,38.9218361305,THEFT/OTHER
-77.0725983558,38.9261811584,THEFT F/AUTO
-76.9984475018,38.8892430852,MOTOR VEHICLE THEFT
-77.0460724634,38.9218361305,THEFT/OTHER
-77.024985606,38.9068458252,THEFT/OTHER
-77.0799373128,38.9483570552,THEFT/OTHER
-77.0029668034,38.9587613319,THEFT F/AUTO
-77.032279821,38.925128521,BURGLARY
-76.9975459006,38.9094049494,THEFT F/AUTO
-77.0319517602,38.9092425999,MOTOR VEHICLE THEFT
-77.0465189898,38.9163836629,THEFT/OTHER
-76.9561517906,38.8963053556,ASSAULT W/DANGEROUS WEAPON
-77.0746387419,38.9342897856,THEFT/OTHER
-77.0753099146,38.9644508729,THEFT/OTHER
-76.9590577483,38.9210705313,MOTOR VEHICLE THEFT
-76.997309589,38.8898056375,ROBBERY
-77.0037506428,38.8485285482,ASSAULT W/DANGEROUS WEAPON
-76.940265984,38.8831908542,ROBBERY
-77.005877691,38.8779673826,THEFT F/AUTO
-76.9664342102,38.8550272402,ASSAULT W/DANGEROUS WEAPON
-76.9921887893,38.8446866075,THEFT F/AUTO
-77.0309270726,38.9237649373,THEFT/OTHER
-76.9517987952,38.8934928496,THEFT F/AUTO
-77.075830218,38.9653437047,THEFT F/AUTO
-76.9888712666,38.9117749001,THEFT/OTHER
-77.0710366027,38.9196665779,THEFT/OTHER
